Link,Judul,Harga,Deskripsi
https://www.airbnb.com/rooms/17104224?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,"Fresh, Eclectic & Effortlessly Cool Studio Kemang",$31,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/43113300?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Spacious Studio Apt in CBD Bintaro,$41,2 guests · 1 bedroom · 3 beds · 1 bath
https://www.airbnb.com/rooms/47848501?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Puri Mansion Apartment Brand New Luxury & Highend,$23,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/49222915?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Elegant House in Pondok Indah next to RSPI,$164,8 guests · 4 bedrooms · 4 beds · 3 baths
https://www.airbnb.com/rooms/46435441?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Mason Place Capitol Park,$22,3 guests · Studio · 2 beds · 1 bath
https://www.airbnb.com/rooms/31232608?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,"Ha-Ce @Casa de Parco, close to AEON mall & ICE BSD",$27,3 guests · Studio · 2 beds · 1 bath
https://www.airbnb.com/rooms/34981691?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,"The WritersRoom, Capitol Suites-Menteng-1km Gambir",$29,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/1962329?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Luxury home in Central Jakarta. Close to malls.,$51,4 guests · 2 bedrooms · 2 beds · 1.5 baths
https://www.airbnb.com/rooms/35471530?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Cozy Place Foresta Primavera BSD Serpong,$83,2 guests · 1 bedroom · 2 beds · 1.5 baths
https://www.airbnb.com/rooms/22167814?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Minima Residence | Spacious & Private 3BR House,$74,6 guests · 3 bedrooms · 3 beds · 2 baths
